model,isSafe,isNUPN,isGenNUPN
AirplaneLD-PT-0010,T,F,T
AirplaneLD-PT-0020,T,F,T
AirplaneLD-PT-0050,T,F,T
AirplaneLD-PT-0100,T,F,T
AirplaneLD-PT-0200,T,F,T
AirplaneLD-PT-0500,T,F,T
AirplaneLD-PT-1000,T,F,T
AirplaneLD-PT-2000,T,F,T
AirplaneLD-PT-4000,T,F,T
Anderson-PT-04,T,T,F
Anderson-PT-05,T,T,F
Anderson-PT-06,T,T,F
Anderson-PT-07,T,T,F
Anderson-PT-08,T,T,F
Anderson-PT-09,T,T,F
Anderson-PT-10,T,T,F
Anderson-PT-11,T,T,F
Anderson-PT-12,T,T,F
Angiogenesis-PT-01,T,F,T
Angiogenesis-PT-05,F,F,F
Angiogenesis-PT-10,F,F,F
Angiogenesis-PT-15,F,F,F
Angiogenesis-PT-20,F,F,F
Angiogenesis-PT-25,F,F,F
Angiogenesis-PT-50,F,F,F
ARMCacheCoherence-PT-none,T,T,F
ASLink-PT-01a,T,T,F
ASLink-PT-01b,T,T,F
ASLink-PT-02a,T,T,F
ASLink-PT-02b,T,T,F
ASLink-PT-03a,T,T,F
ASLink-PT-03b,T,T,F
ASLink-PT-04a,T,T,F
ASLink-PT-04b,T,T,F
ASLink-PT-05a,T,T,F
ASLink-PT-05b,T,T,F
ASLink-PT-06a,T,T,F
ASLink-PT-06b,T,T,F
ASLink-PT-07a,T,T,F
ASLink-PT-07b,T,T,F
ASLink-PT-08a,T,T,F
ASLink-PT-08b,T,T,F
ASLink-PT-09a,T,T,F
ASLink-PT-09b,T,T,F
ASLink-PT-10a,T,T,F
ASLink-PT-10b,T,T,F
AutoFlight-PT-01a,T,T,F
AutoFlight-PT-01b,T,T,F
AutoFlight-PT-02a,T,T,F
AutoFlight-PT-02b,T,T,F
AutoFlight-PT-03a,T,T,F
AutoFlight-PT-03b,T,T,F
AutoFlight-PT-04a,T,T,F
AutoFlight-PT-04b,T,T,F
AutoFlight-PT-05a,T,T,F
AutoFlight-PT-05b,T,T,F
AutoFlight-PT-06a,T,T,F
AutoFlight-PT-06b,T,T,F
AutoFlight-PT-12a,T,T,F
AutoFlight-PT-12b,T,T,F
AutoFlight-PT-24a,T,T,F
AutoFlight-PT-24b,T,T,F
AutoFlight-PT-48a,T,T,F
AutoFlight-PT-48b,T,T,F
AutoFlight-PT-96a,T,T,F
AutoFlight-PT-96b,T,T,F
AutonomousCar-PT-01a,T,T,F
AutonomousCar-PT-01b,T,T,F
AutonomousCar-PT-02a,T,T,F
AutonomousCar-PT-02b,T,T,F
AutonomousCar-PT-03a,T,T,F
AutonomousCar-PT-03b,T,T,F
AutonomousCar-PT-04a,T,T,F
AutonomousCar-PT-04b,T,T,F
AutonomousCar-PT-05a,T,T,F
AutonomousCar-PT-05b,T,T,F
AutonomousCar-PT-06a,T,T,F
AutonomousCar-PT-06b,T,T,F
AutonomousCar-PT-07a,T,T,F
AutonomousCar-PT-07b,T,T,F
AutonomousCar-PT-08a,T,T,F
AutonomousCar-PT-08b,T,T,F
AutonomousCar-PT-09a,T,T,F
AutonomousCar-PT-09b,T,T,F
AutonomousCar-PT-10a,T,T,F
AutonomousCar-PT-10b,T,T,F
BART-PT-002,T,F,T
BART-PT-005,T,F,T
BART-PT-010,T,F,T
BART-PT-020,T,F,T
BART-PT-030,T,F,T
BART-PT-040,T,F,T
BART-PT-050,T,F,T
BART-PT-060,T,F,T
BridgeAndVehicles-PT-V04P05N02,F,F,F
BridgeAndVehicles-PT-V10P10N10,F,F,F
BridgeAndVehicles-PT-V20P10N10,F,F,F
BridgeAndVehicles-PT-V20P10N20,F,F,F
BridgeAndVehicles-PT-V20P10N50,F,F,F
BridgeAndVehicles-PT-V20P20N10,F,F,F
BridgeAndVehicles-PT-V20P20N20,F,F,F
BridgeAndVehicles-PT-V20P20N50,F,F,F
BridgeAndVehicles-PT-V50P20N10,F,F,F
BridgeAndVehicles-PT-V50P20N20,F,F,F
BridgeAndVehicles-PT-V50P20N50,F,F,F
BridgeAndVehicles-PT-V50P50N10,F,F,F
BridgeAndVehicles-PT-V50P50N20,F,F,F
BridgeAndVehicles-PT-V50P50N50,F,F,F
BridgeAndVehicles-PT-V80P20N10,F,F,F
BridgeAndVehicles-PT-V80P20N20,F,F,F
BridgeAndVehicles-PT-V80P20N50,F,F,F
BridgeAndVehicles-PT-V80P50N10,F,F,F
BridgeAndVehicles-PT-V80P50N20,F,F,F
BridgeAndVehicles-PT-V80P50N50,F,F,F
BugTracking-PT-q3m002,F,F,F
BugTracking-PT-q3m004,F,F,F
BugTracking-PT-q3m008,F,F,F
BugTracking-PT-q3m016,F,F,F
BugTracking-PT-q3m032,F,F,F
BugTracking-PT-q3m064,F,F,F
BugTracking-PT-q3m128,F,F,F
BugTracking-PT-q3m256,F,F,F
BugTracking-PT-q8m002,F,F,F
BugTracking-PT-q8m004,F,F,F
BugTracking-PT-q8m008,F,F,F
BugTracking-PT-q8m016,F,F,F
BugTracking-PT-q8m032,F,F,F
BugTracking-PT-q8m064,F,F,F
BugTracking-PT-q8m128,F,F,F
BugTracking-PT-q8m256,F,F,F
BusinessProcesses-PT-01,T,T,F
BusinessProcesses-PT-02,T,T,F
BusinessProcesses-PT-03,T,T,F
BusinessProcesses-PT-04,T,T,F
BusinessProcesses-PT-05,T,T,F
BusinessProcesses-PT-06,T,T,F
BusinessProcesses-PT-07,T,T,F
BusinessProcesses-PT-08,T,T,F
BusinessProcesses-PT-09,T,T,F
BusinessProcesses-PT-10,T,T,F
BusinessProcesses-PT-11,T,T,F
BusinessProcesses-PT-12,T,T,F
BusinessProcesses-PT-13,T,T,F
BusinessProcesses-PT-14,T,T,F
BusinessProcesses-PT-15,T,T,F
BusinessProcesses-PT-16,T,T,F
BusinessProcesses-PT-17,T,T,F
BusinessProcesses-PT-18,T,T,F
BusinessProcesses-PT-19,T,T,F
BusinessProcesses-PT-20,T,T,F
CANConstruction-PT-005,F,F,F
CANConstruction-PT-010,F,F,F
CANConstruction-PT-020,F,F,F
CANConstruction-PT-030,F,F,F
CANConstruction-PT-040,F,F,F
CANConstruction-PT-050,F,F,F
CANConstruction-PT-060,F,F,F
CANConstruction-PT-070,F,F,F
CANConstruction-PT-080,F,F,F
CANConstruction-PT-090,F,F,F
CANConstruction-PT-100,F,F,F
CANInsertWithFailure-PT-005,F,F,F
CANInsertWithFailure-PT-010,F,F,F
CANInsertWithFailure-PT-020,F,F,F
CANInsertWithFailure-PT-030,F,F,F
CANInsertWithFailure-PT-040,F,F,F
CANInsertWithFailure-PT-050,F,F,F
CANInsertWithFailure-PT-060,F,F,F
CANInsertWithFailure-PT-070,F,F,F
CANInsertWithFailure-PT-080,F,F,F
CANInsertWithFailure-PT-090,F,F,F
CANInsertWithFailure-PT-100,F,F,F
CircadianClock-PT-000001,T,F,T
CircadianClock-PT-000010,F,F,F
CircadianClock-PT-000100,F,F,F
CircadianClock-PT-001000,F,F,F
CircadianClock-PT-010000,F,F,F
CircadianClock-PT-100000,F,F,F
CircularTrains-PT-012,F,F,F
CircularTrains-PT-024,F,F,F
CircularTrains-PT-048,F,F,F
CircularTrains-PT-096,F,F,F
CircularTrains-PT-192,F,F,F
CircularTrains-PT-384,F,F,F
CircularTrains-PT-768,F,F,F
ClientsAndServers-PT-N0001P0,F,F,F
ClientsAndServers-PT-N0002P0,F,F,F
ClientsAndServers-PT-N0002P1,F,F,F
ClientsAndServers-PT-N0005P0,F,F,F
ClientsAndServers-PT-N0005P1,F,F,F
ClientsAndServers-PT-N0010P0,F,F,F
ClientsAndServers-PT-N0010P1,F,F,F
ClientsAndServers-PT-N0010P2,F,F,F
ClientsAndServers-PT-N0020P0,F,F,F
ClientsAndServers-PT-N0020P1,F,F,F
ClientsAndServers-PT-N0020P2,F,F,F
ClientsAndServers-PT-N0020P3,F,F,F
ClientsAndServers-PT-N0020P4,F,F,F
ClientsAndServers-PT-N0050P0,F,F,F
ClientsAndServers-PT-N0100P0,F,F,F
ClientsAndServers-PT-N0200P0,F,F,F
ClientsAndServers-PT-N0500P0,F,F,F
ClientsAndServers-PT-N1000P0,F,F,F
ClientsAndServers-PT-N2000P0,F,F,F
ClientsAndServers-PT-N5000P0,F,F,F
CloudDeployment-PT-2a,T,T,F
CloudDeployment-PT-2b,T,T,F
CloudDeployment-PT-3a,T,T,F
CloudDeployment-PT-3b,T,T,F
CloudDeployment-PT-4a,T,T,F
CloudDeployment-PT-4b,T,T,F
CloudDeployment-PT-5a,T,T,F
CloudDeployment-PT-5b,T,T,F
CloudDeployment-PT-6a,T,T,F
CloudDeployment-PT-6b,T,T,F
CloudDeployment-PT-7a,T,T,F
CloudDeployment-PT-7b,T,T,F
CloudOpsManagement-PT-00002by00001,F,F,F
CloudOpsManagement-PT-00005by00002,F,F,F
CloudOpsManagement-PT-00010by00005,F,F,F
CloudOpsManagement-PT-00020by00010,F,F,F
CloudOpsManagement-PT-00040by00020,F,F,F
CloudOpsManagement-PT-00080by00040,F,F,F
CloudOpsManagement-PT-00160by00080,F,F,F
CloudOpsManagement-PT-00320by00160,F,F,F
CloudOpsManagement-PT-00640by00320,F,F,F
CloudOpsManagement-PT-01280by00640,F,F,F
CloudOpsManagement-PT-02560by01280,F,F,F
CloudOpsManagement-PT-05120by02560,F,F,F
CloudOpsManagement-PT-10240by05120,F,F,F
CloudOpsManagement-PT-20480by10240,F,F,F
CloudReconfiguration-PT-301,T,T,F
CloudReconfiguration-PT-302,T,T,F
CloudReconfiguration-PT-303,T,T,F
CloudReconfiguration-PT-304,T,T,F
CloudReconfiguration-PT-305,T,T,F
CloudReconfiguration-PT-306,T,T,F
CloudReconfiguration-PT-307,T,T,F
CloudReconfiguration-PT-308,T,T,F
CloudReconfiguration-PT-309,T,T,F
CloudReconfiguration-PT-310,T,T,F
CloudReconfiguration-PT-311,T,T,F
CloudReconfiguration-PT-312,T,T,F
CloudReconfiguration-PT-313,T,T,F
CloudReconfiguration-PT-314,T,T,F
CloudReconfiguration-PT-315,T,T,F
CloudReconfiguration-PT-316,T,T,F
CloudReconfiguration-PT-317,T,T,F
CloudReconfiguration-PT-318,T,T,F
CloudReconfiguration-PT-319,T,T,F
CloudReconfiguration-PT-320,T,T,F
CloudReconfiguration-PT-401,T,T,F
CloudReconfiguration-PT-402,T,T,F
CryptoMiner-PT-D03N000,F,F,F
CryptoMiner-PT-D05N000,F,F,F
CryptoMiner-PT-D10N000,F,F,F
CryptoMiner-PT-D10N100,F,F,F
CryptoMiner-PT-D20N100,F,F,F
CryptoMiner-PT-D03N010,F,F,F
CryptoMiner-PT-D03N100,F,F,F
CryptoMiner-PT-D05N100,F,F,F
CryptoMiner-PT-D05N250,F,F,F
CSRepetitions-PT-02,F,F,F
CSRepetitions-PT-03,F,F,F
CSRepetitions-PT-04,F,F,F
CSRepetitions-PT-05,F,F,F
CSRepetitions-PT-07,F,F,F
CSRepetitions-PT-10,F,F,F
DatabaseWithMutex-PT-02,T,F,T
DatabaseWithMutex-PT-04,T,F,T
DatabaseWithMutex-PT-10,T,F,T
DatabaseWithMutex-PT-20,T,F,T
DatabaseWithMutex-PT-40,T,F,T
DBSingleClientW-PT-d0m04,F,F,F
DBSingleClientW-PT-d0m05,F,F,F
DBSingleClientW-PT-d0m06,F,F,F
DBSingleClientW-PT-d0m07,F,F,F
DBSingleClientW-PT-d0m08,F,F,F
DBSingleClientW-PT-d0m09,F,F,F
DBSingleClientW-PT-d0m10,F,F,F
DBSingleClientW-PT-d1m04,F,F,F
DBSingleClientW-PT-d1m05,F,F,F
DBSingleClientW-PT-d1m06,F,F,F
DBSingleClientW-PT-d1m07,F,F,F
DBSingleClientW-PT-d1m08,F,F,F
DBSingleClientW-PT-d1m09,F,F,F
DBSingleClientW-PT-d1m10,F,F,F
DBSingleClientW-PT-d2m04,F,F,F
DBSingleClientW-PT-d2m05,F,F,F
DBSingleClientW-PT-d2m06,F,F,F
DBSingleClientW-PT-d2m07,F,F,F
DBSingleClientW-PT-d2m08,F,F,F
DBSingleClientW-PT-d2m09,F,F,F
DBSingleClientW-PT-d2m10,F,F,F
Dekker-PT-010,T,F,T
Dekker-PT-015,T,F,T
Dekker-PT-020,T,F,T
Dekker-PT-050,T,F,T
Dekker-PT-100,T,F,T
Dekker-PT-200,T,F,T
DES-PT-00a,T,T,F
DES-PT-00b,T,T,F
DES-PT-01a,T,T,F
DES-PT-01b,T,T,F
DES-PT-02a,T,T,F
DES-PT-02b,T,T,F
DES-PT-05a,T,T,F
DES-PT-05b,T,T,F
DES-PT-10a,T,T,F
DES-PT-10b,T,T,F
DES-PT-20a,T,T,F
DES-PT-20b,T,T,F
DES-PT-30a,T,T,F
DES-PT-30b,T,T,F
DES-PT-40a,T,T,F
DES-PT-40b,T,T,F
DES-PT-50a,T,T,F
DES-PT-50b,T,T,F
DES-PT-60a,T,T,F
DES-PT-60b,T,T,F
Diffusion2D-PT-D05N010,F,F,F
Diffusion2D-PT-D05N050,F,F,F
Diffusion2D-PT-D05N100,F,F,F
Diffusion2D-PT-D05N150,F,F,F
Diffusion2D-PT-D05N200,F,F,F
Diffusion2D-PT-D05N250,F,F,F
Diffusion2D-PT-D05N300,F,F,F
Diffusion2D-PT-D05N350,F,F,F
Diffusion2D-PT-D10N010,F,F,F
Diffusion2D-PT-D10N050,F,F,F
Diffusion2D-PT-D10N100,F,F,F
Diffusion2D-PT-D10N150,F,F,F
Diffusion2D-PT-D10N200,F,F,F
Diffusion2D-PT-D20N010,F,F,F
Diffusion2D-PT-D20N050,F,F,F
Diffusion2D-PT-D20N100,F,F,F
Diffusion2D-PT-D20N150,F,F,F
Diffusion2D-PT-D30N010,F,F,F
Diffusion2D-PT-D30N050,F,F,F
Diffusion2D-PT-D30N100,F,F,F
Diffusion2D-PT-D30N150,F,F,F
Diffusion2D-PT-D40N010,F,F,F
Diffusion2D-PT-D40N050,F,F,F
Diffusion2D-PT-D40N100,F,F,F
Diffusion2D-PT-D40N150,F,F,F
Diffusion2D-PT-D50N010,F,F,F
Diffusion2D-PT-D50N050,F,F,F
Diffusion2D-PT-D50N100,F,F,F
Diffusion2D-PT-D50N150,F,F,F
DiscoveryGPU-PT-06a,T,T,F
DiscoveryGPU-PT-06b,T,T,F
DiscoveryGPU-PT-07a,T,T,F
DiscoveryGPU-PT-07b,T,T,F
DiscoveryGPU-PT-08a,T,T,F
DiscoveryGPU-PT-08b,T,T,F
DiscoveryGPU-PT-09a,T,T,F
DiscoveryGPU-PT-09b,T,T,F
DiscoveryGPU-PT-10a,T,T,F
DiscoveryGPU-PT-10b,T,T,F
DiscoveryGPU-PT-11a,T,T,F
DiscoveryGPU-PT-11b,T,T,F
DiscoveryGPU-PT-12a,T,T,F
DiscoveryGPU-PT-12b,T,T,F
DiscoveryGPU-PT-13a,T,T,F
DiscoveryGPU-PT-13b,T,T,F
DiscoveryGPU-PT-14a,T,T,F
DiscoveryGPU-PT-14b,T,T,F
DiscoveryGPU-PT-15a,T,T,F
DiscoveryGPU-PT-15b,T,T,F
DLCflexbar-PT-2a,T,T,F
DLCflexbar-PT-2b,T,T,F
DLCflexbar-PT-3a,T,T,F
DLCflexbar-PT-3b,T,T,F
DLCflexbar-PT-4a,T,T,F
DLCflexbar-PT-4b,T,T,F
DLCflexbar-PT-5a,T,T,F
DLCflexbar-PT-5b,T,T,F
DLCflexbar-PT-6a,T,T,F
DLCflexbar-PT-6b,T,T,F
DLCflexbar-PT-7a,T,T,F
DLCflexbar-PT-7b,T,T,F
DLCflexbar-PT-8a,T,T,F
DLCflexbar-PT-8b,T,T,F
DLCround-PT-03a,T,T,F
DLCround-PT-03b,T,T,F
DLCround-PT-04a,T,T,F
DLCround-PT-04b,T,T,F
DLCround-PT-05a,T,T,F
DLCround-PT-05b,T,T,F
DLCround-PT-06a,T,T,F
DLCround-PT-06b,T,T,F
DLCround-PT-07a,T,T,F
DLCround-PT-07b,T,T,F
DLCround-PT-08a,T,T,F
DLCround-PT-08b,T,T,F
DLCround-PT-09a,T,T,F
DLCround-PT-09b,T,T,F
DLCround-PT-10a,T,T,F
DLCround-PT-10b,T,T,F
DLCround-PT-11a,T,T,F
DLCround-PT-11b,T,T,F
DLCround-PT-12a,T,T,F
DLCround-PT-12b,T,T,F
DLCround-PT-13a,T,T,F
DLCround-PT-13b,T,T,F
DLCshifumi-PT-2a,T,T,F
DLCshifumi-PT-2b,T,T,F
DLCshifumi-PT-3a,T,T,F
DLCshifumi-PT-3b,T,T,F
DLCshifumi-PT-4a,T,T,F
DLCshifumi-PT-4b,T,T,F
DLCshifumi-PT-5a,T,T,F
DLCshifumi-PT-5b,T,T,F
DLCshifumi-PT-6a,T,T,F
DLCshifumi-PT-6b,T,T,F
DNAwalker-PT-01track12Block1,F,F,F
DNAwalker-PT-02track12Block2,F,F,F
DNAwalker-PT-03track12BlockBoth,F,F,F
DNAwalker-PT-04track28LL,F,F,F
DNAwalker-PT-05track28LR,F,F,F
DNAwalker-PT-06track28RL,F,F,F
DNAwalker-PT-07track28RR,F,F,F
DNAwalker-PT-08ringLL,F,F,F
DNAwalker-PT-09ringLR,F,F,F
DNAwalker-PT-10ringRL,F,F,F
DNAwalker-PT-11ringRR,F,F,F
DNAwalker-PT-12ringLLLarge,F,F,F
DNAwalker-PT-13ringRLLarge,F,F,F
DNAwalker-PT-14ringLRLarge,F,F,F
DNAwalker-PT-15ringRRLarge,F,F,F
DNAwalker-PT-16redondantChoiceR,F,F,F
DNAwalker-PT-17redondantChoiceL,F,F,F
DNAwalker-PT-18lozangeBlock,F,F,F
DoubleExponent-PT-001,F,F,F
DoubleExponent-PT-002,F,F,F
DoubleExponent-PT-003,F,F,F
DoubleExponent-PT-004,F,F,F
DoubleExponent-PT-010,F,F,F
DoubleExponent-PT-020,F,F,F
DoubleExponent-PT-100,F,F,F
DoubleExponent-PT-200,F,F,F
DoubleLock-PT-p1s1,F,F,F
DoubleLock-PT-p1s2,F,F,F
DoubleLock-PT-p1s3,F,F,F
DoubleLock-PT-p2s1,F,F,F
DoubleLock-PT-p2s2,F,F,F
DoubleLock-PT-p3s1,F,F,F
DoubleLock-PT-p3s2,F,F,F
DoubleLock-PT-p3s3,F,F,F
DrinkVendingMachine-PT-02,F,F,F
DrinkVendingMachine-PT-10,F,F,F
Echo-PT-d02r09,T,F,T
Echo-PT-d02r11,T,F,T
Echo-PT-d02r15,T,F,T
Echo-PT-d02r19,T,F,T
Echo-PT-d03r03,T,F,T
Echo-PT-d03r05,T,F,T
Echo-PT-d03r07,T,F,T
Echo-PT-d04r03,T,F,T
Echo-PT-d05r03,T,F,T
EGFr-PT-02010,T,F,T
EGFr-PT-10420,T,F,T
EGFr-PT-10421,T,F,F
EisenbergMcGuire-PT-03,T,T,F
EisenbergMcGuire-PT-04,T,T,F
EisenbergMcGuire-PT-05,T,T,F
EisenbergMcGuire-PT-06,T,T,F
EisenbergMcGuire-PT-07,T,T,F
EisenbergMcGuire-PT-08,T,T,F
EisenbergMcGuire-PT-09,T,T,F
EisenbergMcGuire-PT-10,T,T,F
Election2020-PT-none,F,F,F
EnergyBus-PT-none,T,T,F
Eratosthenes-PT-010,T,F,F
Eratosthenes-PT-020,T,F,F
Eratosthenes-PT-050,T,F,F
Eratosthenes-PT-100,T,F,F
Eratosthenes-PT-200,T,F,F
Eratosthenes-PT-500,T,F,F
ERK-PT-000001,T,F,T
ERK-PT-000010,F,F,F
ERK-PT-000100,F,F,F
ERK-PT-001000,F,F,F
